Nome da Planta;Tipo;Nome Popular 1;Nome Popular 2;Nome Popular 3;Tempo de Colheita (Em Dias);Frequência de Rega (Em Dias);Quantidade de Sol;Planta que Cresce Bem Junto 1;Planta que Cresce Bem Junto 2;Planta que Cresce Bem Junto 3;Planta que Cresce Mal Junto 1;Planta que Cresce Mal Junto 2;Planta que Cresce Mal Junto 3;Fonte 1;Fonte 2;Fonte 3
Cúrcuma;Medicinais/Chás;;;;;;;;;;;;;;;
Cuvatã;Agroflorestais;Camboatã;Gragoatã;Pau-de-cantil;Sazonal: Nov-Dez;7;Sombra;;;;Povoamento puro;;;CARVALHO, 2006;;
Dália;Ornamentais;;;;;;;;;;;;;;;
Embaúba;Agroflorestais;Torém;Árvore-da-preguiça;Preguiceira;Sazonal: Mai-Jun;7;Sol Pleno;;;;;;;CARVALHO, 2006;;
Erva-cidreira;Medicinais/Chás;;;;;;;;;;;;;;;
Erva-doce;Medicinais/Chás;;;;;;;;;;;;;;;
Erva-mate;Agroflorestais;Caáguaçu;Carvalho-branco;Caúna;Sazonal: Mar;7;Sombra;Frutíferas;Árvores de Crescimento Lento;Pinheiro-do-paraná;;;;CARVALHO, 2003;;
Espada-de-São-Jorge;Religiosidades;;;;;;;;;;;;;;;
Espinafre;Alimentícia;;;;;;;;;;;;;;;
Faveira;Agroflorestais;Visgueiro;Fava-de-bolota;Badoqueiro;Sazonal: Dez;7;Sol Pleno;;;;;;;CARVALHO, 2014;;
Flor de lótus;Religiosidades;;;;;;;;;;;;;;;
Gengibre;Medicinais/Chás;;;;;;;;;;;;;;;
Ginseng;Medicinais/Chás;;;;;;;;;;;;;;;
Girassol ornamental;Ornamentais;;;;;;;;;;;;;;;
Guanandi;Agroflorestais;Jacareúba;Guanandi-lombriga;Oonandi;Sazonal: Abr-Out;3;Sol Pleno;;;;;;;CARVALHO, 2003;;
Guapuruvu;Agroflorestais;Espanador-do-céu;Bacuparu;Birosca;Sazonal: Abr-Out;3;Sol Pleno;;;;;;;CARVALHO, 2003;;
Guiné;Religiosidades;;;;;;;;;;;;;;;
Hissopo;Medicinais/Chás;;;;;;;;;;;;;;;
Hortelã;Medicinais/Chás;;;;;;;;;;;;;;;
Iboga;Religiosidades;;;;;;;;;;;;;;;
Ingá-cipó;Agroflorestais;Inga-do-mato;Ingá-de-quatro-quinas;Abaremotemo;Sazonal: Jan-Dez;3;Sol Pleno;Plantas de Sombra;Café;Cacau;;;;CARVALHO, 2014;;
Ingá-feijão;Agroflorestais;Ingazinho;Ingá-mirim;Ingá-miudo;Sazonal: Mar-Jun;7;Sol Pleno;;;;;;;CARVALHO, 2006;;
Ipê-rosa;Agroflorestais;Ipê-roxo-de-bola;Pau-cachorro;Pau-d’arco-rosa;Sazonal: Jun-Set;7;Meia Sombra;Frutíferas;Árvores de Crescimento Lento;;;;;POLETTO et al., 2020;CARVALHO, 2003;
Ipê-roxo;Agroflorestais;Ipê-roxo-anão;Cabroé;Graraíba;Sazonal: Jul-Nov;7;Sombra;Frutíferas;Árvores de Crescimento Lento;;;;;POLETTO et al., 2020;CARVALHO, 2003;
Jacarandá-da-Bahia;Agroflorestais;Caviúna;Camburana;Uraúna;Sazonal: Ago-Jan;15;Sol Pleno;Frutíferas;Árvores de Crescimento Lento;Culturas Agrícolas;;Plantio puro;;CARVALHO, 2003;;
Jatobá;Agroflorestais;Árvore-copal;Castanheiro-de-bugre;Jatí;Sazonal: Jun-Dez;15;Meia Sombra;Frutíferas;Árvores de Crescimento Lento;Culturas Agrícolas;;;;POLETTO et al., 2020;CARVALHO, 2003;
Jenipapeiro;Agroflorestais;Cabaçu;Janapabeiro;Jenipava;Sazonal: Jan-Mar;3;Meia Sombra;Frutíferas;Árvores de Crescimento Lento;Culturas Agrícolas;;;;CARVALHO,2003;;
Juazeiro;Agroflorestais;Joazeiro;Juá-bravo;Juá-babão;Sazonal: Out-Dez;15;Sol Pleno;Cerca-viva;Plantas de Sombra;;;;;CARVALHO, 2006;;
Jurubeba;Medicinais/Chás;;;;;;;;;;;;;;;
Lírio;Ornamentais;;;;;;;;;;;;;;;
Magnólia;Ornamentais;;;;;;;;;;;;;;;
Manduirana;Agroflorestais;Cássia;Fedegosão;Paratudo;Sazonal: Mar-Abr;7;Sol Pleno;;;;;;;CARVALHO, 2006;;
Maricá;Agroflorestais;Espinheiro;Alagadiço;Amorosa;Sazonal: Mai-Jul;3;Sol Pleno;Plantio puro;Cerca-viva;Leucena;;;;CARVALHO, 2003;;
Melancia;Alimentícia;;;;;;;Babaçu;;;;;;SILVA, 2017;;
Melissa;Medicinais/Chás;Erva-cidreira;;;;;;;;;;;;;;
Melão;Alimentícia;;;;;;;;;;;;;;;
Murici;Agroflorestais;Capixingui;Pau-de-curtir;;Sazonal: Mar-Abr;15;Sol Pleno;Frutíferas;Árvores de Crescimento Lento;;;;;CARVALHO, 2008;;
Mutamba;Agroflorestais;Guaxima-macho;Coração-de-negro;Marolinho;Sazonal: Ago-Out;7;Sol Pleno;Plantio puro;Culturas agrícolas;;;;;CARVALHO, 2006;;
Pau-brasil;Agroflorestais;Arabutã;Brasilete;Ibirapitanga;Sazonal: Out-Fev;7;Sol Pleno;Frutíferas;Árvores de Crescimento Lento;;Plantio puro;;;CARVALHO, 2003;;
Pau-ferro;Agroflorestais;Quiriripiranga;Ibirá-obi;Muirapixuma;Sazonal: Mai-Dez;7;Sol Pleno;Espécies de crescimento rápido;Plantio puro;;;;;CARVALHO, 2003;;
Pau-jacaré;Agroflorestais;Amboeteiro;Serreiro;Jacaré;Sazonal: Jun-Dez;7;Sol Pleno;Plantio puro;Café;Plantas de Sombra;;;;CARVALHO, 2003;;
Peiote;Religiosidades;Mescal;;;;;;;;;;;;;;
Peônia;Ornamentais;;;;;;;;;;;;;;;
Pequizeiro;Agroflorestais;Pequi-do-cerrado;Saco-de-bode;Pitiá;Sazonal: Dez-Mai;7;Sol Pleno;Culturas agrícolas;;;;;;CARVALHO, 2008;;
Peregun;Religiosidades;Pau-d’água;;;;;;;;;;;;;;
Petúnia;Ornamentais;;;;;;;;;;;;;;;
Pimenta;Alimentícia;;;;;;;;;;;;;;;
Pitangueira;Agroflorestais;Batinga;;;Sazonal: Out-Nov;3;Meia Sombra;Plantio puro;Plantio misto;;;;;CARVALHO, 2006;;
Rosa;Ornamentais;;;;;;;;;;;;;;;
Saboneteira;Agroflorestais;Aça-toucinho;Árvore-de-sabão;Bugreiro-da-várzea;Sazonal: Abr-Jun;7;Sol Pleno;Frutíferas;Árvores de Crescimento Lento;Plantio puro;;;;CARVALHO, 2003;;
Samambaia;Ornamentais;;;;;;;;;;;;;;;
Sobrasil;Agroflorestais;Saguaraji-amarelo;Caçoca;Brasilite;Sazonal: Mai-Out;7;Meia Sombra;Jacatirão-açu;Licurana;Culturas agrícolas;;;;POLETTO et al., 2020;CARVALHO, 2003;
Sucupira;Agroflorestais;Chico-pires;Cipirira;Sebipira;Sazonal: Out-Nov;15;Sol Pleno;Plantio puro;Plantio misto;;;;;CARVALHO, 2006;;
Tarumã;Agroflorestais;Azeitona-do-mato;Maria-preta;Tapinhão;Sazonal: Jan-Mar;3;Meia Sombra;Plantas de Sombra;Culturas agrícolas;;;;;CARVALHO, 2006;;
Tomate;Alimentícia;;;;;;;;;;;;;;;
Tulipa;Ornamentais;;;;;;;;;;;;;;;
Umbuzeiro;Agroflorestais;Imbuzeiro;Ombuzeiro;Ambuzeiro;Sazonal: Nov-Mar;7;Sol Pleno;Cerca-viva;Plantas de Sombra;;;;;CARVALHO, 2008;;
Uva;Alimentícia;;;;;;;;;;;;;;;
